IP
"1.0.136.29			 # 2018-11-12",
"1.0.136.215			 # 2018-10-06",
"1.0.156.75			 # 2018-09-24",
"1.0.158.15			 # 2018-10-01",
"1.0.208.85			 # 2018-11-22",
"1.0.208.107			 # 2018-11-15",
"1.0.214.249			 # 2018-11-05",
"1.1.132.102			 # 2018-09-24",
"1.1.148.228			 # 2018-09-24",
"1.1.154.128			 # 2018-09-24",
"1.1.154.251			 # 2018-10-31",
"1.1.166.56			 # 2019-01-13",
"1.1.168.9			 # 2018-09-30",
"1.1.182.238			 # 2018-10-22",
"1.1.183.142			 # 2019-10-07",
"1.1.199.132			 # 2019-02-02",
"1.1.209.108			 # 2019-02-03",
"1.1.224.174			 # 2018-09-23",
"1.2.130.226			 # 2018-12-25",
"1.2.143.164			 # 2018-10-02",
"1.2.162.51			 # 2018-11-21",
"1.2.163.195			 # 2018-12-14",
"1.2.167.196			 # 2018-11-15",
"1.2.169.4			 # 2019-01-02",
"1.2.169.8			 # 2018-11-15",
"1.2.169.9			 # 2018-11-15",
"1.2.169.12			 # 2019-01-10",
"1.2.169.14			 # 2018-11-15",
"1.2.169.19			 # 2018-11-15",
"1.2.169.21			 # 2018-10-16",
"1.2.169.24			 # 2018-11-15",
"1.2.169.28			 # 2019-01-13",
"1.2.169.36			 # 2018-11-15",
"1.2.169.39			 # 2018-11-15",
"1.2.169.45			 # 2018-12-27",
"1.2.169.47			 # 2018-11-15",
"1.2.169.49			 # 2018-12-24",
"1.2.169.54			 # 2018-11-15",
"1.2.169.59			 # 2018-11-15",
"1.2.169.65			 # 2018-09-29",
"1.2.169.79			 # 2018-12-28",
"1.2.169.82			 # 2018-11-15",
"1.2.169.84			 # 2019-01-04",
"1.2.169.85			 # 2019-02-13",
"1.2.169.89			 # 2018-10-17",
"1.2.169.93			 # 2018-11-15",
"1.2.169.95			 # 2018-11-15",
"1.2.169.100			 # 2018-11-15",
"1.2.169.101			 # 2018-11-15",
"1.2.169.108			 # 2018-10-11",
"1.2.169.113			 # 2018-11-15",
"1.2.169.114			 # 2018-11-15",
"1.2.169.122			 # 2018-11-15",
"1.2.169.123			 # 2018-11-15",
"1.2.184.127			 # 2019-09-29",
"1.2.187.53			 # 2018-09-25",
"1.2.190.22			 # 2018-10-30",
"1.2.227.48			 # 2018-09-23",
"1.2.228.73			 # 2018-09-25",
"1.2.240.143			 # 2020-10-02",
"1.2.242.38			 # 2019-01-01",
"1.2.254.39			 # 2018-09-24",
"1.4.143.210			 # 2018-11-12",
"1.4.157.82			 # 2018-11-15",
"1.4.198.157			 # 2018-11-15",
"1.4.202.21			 # 2018-10-06",
"1.4.216.145			 # 2018-10-30",
"1.4.221.218			 # 2018-11-15",
"1.4.222.8			 # 2019-02-16",
"1.4.223.227			 # 2018-11-03",
"1.4.244.171			 # 2018-10-30",
"1.9.63.66			 # 2019-08-08",
